"","time","use..kW.","day","hour"
"1",2020-01-01 05:00:00,1.211266667,3,5
"2",2020-01-01 06:00:00,55.090016668,3,6
"3",2020-01-01 07:00:00,42.884166665,3,7
"4",2020-01-01 08:00:00,57.600766667,3,8
"5",2020-01-01 09:00:00,38.390183332,3,9
"6",2020-01-01 10:00:00,73.164966666,3,10
"7",2020-01-01 11:00:00,47.924833337,3,11
"8",2020-01-01 12:00:00,32.223283329,3,12
"9",2020-01-01 13:00:00,21.502600001,3,13
"10",2020-01-01 14:00:00,45.40321667,3,14
"11",2020-01-01 15:00:00,88.234833336,3,15
"12",2020-01-01 16:00:00,79.298183335,3,16
"13",2020-01-01 17:00:00,115.001316667,3,17
"14",2020-01-01 18:00:00,125.723383334,3,18
"15",2020-01-01 19:00:00,78.259400001,3,19
"16",2020-01-01 20:00:00,76.276699998,3,20
"17",2020-01-01 21:00:00,89.099183337,3,21
"18",2020-01-01 22:00:00,115.7258,3,22
"19",2020-01-01 23:00:00,121.818900003,3,23
"20",2020-01-02 00:00:00,165.506316669,4,0
"21",2020-01-02 01:00:00,85.872016664,4,1
"22",2020-01-02 02:00:00,56.716999997,4,2
"23",2020-01-02 03:00:00,46.456266666,4,3
"24",2020-01-02 04:00:00,89.340383335,4,4
"25",2020-01-02 05:00:00,80.964083335,4,5
"26",2020-01-02 06:00:00,46.179233333,4,6
"27",2020-01-02 07:00:00,47.043283333,4,7
"28",2020-01-02 08:00:00,59.668033335,4,8
"29",2020-01-02 09:00:00,46.713949998,4,9
"30",2020-01-02 10:00:00,48.878833333,4,10
"31",2020-01-02 11:00:00,55.335899998,4,11
"32",2020-01-02 12:00:00,96.662316671,4,12
"33",2020-01-02 13:00:00,83.656850001,4,13
"34",2020-01-02 14:00:00,43.452599999,4,14
"35",2020-01-02 15:00:00,43.91285,4,15
"36",2020-01-02 16:00:00,17.214600002,4,16
"37",2020-01-02 17:00:00,15.62488333,4,17
"38",2020-01-02 18:00:00,37.827899997,4,18
"39",2020-01-02 19:00:00,97.488216667,4,19
"40",2020-01-02 20:00:00,106.033100001,4,20
"41",2020-01-02 21:00:00,129.434949997,4,21
"42",2020-01-02 22:00:00,175.454883339,4,22
"43",2020-01-02 23:00:00,176.082616667,4,23
"44",2020-01-03 00:00:00,104.280149994,5,0
"45",2020-01-03 01:00:00,124.431583333,5,1
"46",2020-01-03 02:00:00,96.725799997,5,2
"47",2020-01-03 03:00:00,47.900916662,5,3
"48",2020-01-03 04:00:00,59.874966666,5,4
"49",2020-01-03 05:00:00,42.819383334,5,5
"50",2020-01-03 06:00:00,52.151616666,5,6
"51",2020-01-03 07:00:00,54.292150001,5,7
"52",2020-01-03 08:00:00,47.43303333,5,8
"53",2020-01-03 09:00:00,47.604183332,5,9
"54",2020-01-03 10:00:00,49.079033335,5,10
"55",2020-01-03 11:00:00,52.664500001,5,11
"56",2020-01-03 12:00:00,74.702333335,5,12
"57",2020-01-03 13:00:00,44.331149994,5,13
"58",2020-01-03 14:00:00,41.185299997,5,14
"59",2020-01-03 15:00:00,42.911016669,5,15
"60",2020-01-03 16:00:00,74.015166667,5,16
"61",2020-01-03 17:00:00,68.495499998,5,17
"62",2020-01-03 18:00:00,47.014216668,5,18
"63",2020-01-03 19:00:00,46.575150002,5,19
"64",2020-01-03 20:00:00,82.298166666,5,20
"65",2020-01-03 21:00:00,113.174633336,5,21
"66",2020-01-03 22:00:00,123.161816667,5,22
"67",2020-01-03 23:00:00,114.006366665,5,23
"68",2020-01-04 00:00:00,97.656133336,6,0
"69",2020-01-04 01:00:00,92.320883331,6,1
"70",2020-01-04 02:00:00,65.766600001,6,2
"71",2020-01-04 03:00:00,42.027899999,6,3
"72",2020-01-04 04:00:00,55.54405,6,4
"73",2020-01-04 05:00:00,33.552433333,6,5
"74",2020-01-04 06:00:00,45.164516667,6,6
"75",2020-01-04 07:00:00,40.171450002,6,7
"76",2020-01-04 08:00:00,55.546099997,6,8
"77",2020-01-04 09:00:00,47.854033332,6,9
"78",2020-01-04 10:00:00,72.912483336,6,10
"79",2020-01-04 11:00:00,61.351200003,6,11
"80",2020-01-04 12:00:00,40.48165,6,12
"81",2020-01-04 13:00:00,34.142866664,6,13
"82",2020-01-04 14:00:00,67.210383331,6,14
"83",2020-01-04 15:00:00,96.7337,6,15
"84",2020-01-04 16:00:00,65.72058333,6,16
"85",2020-01-04 17:00:00,59.009150002,6,17
"86",2020-01-04 18:00:00,37.432233334,6,18
"87",2020-01-04 19:00:00,28.510516668,6,19
"88",2020-01-04 20:00:00,38.368533334,6,20
"89",2020-01-04 21:00:00,73.64245,6,21
"90",2020-01-04 22:00:00,123.804616665,6,22
"91",2020-01-04 23:00:00,125.76155,6,23
"92",2020-01-05 00:00:00,78.935616667,0,0
"93",2020-01-05 01:00:00,115.639983335,0,1
"94",2020-01-05 02:00:00,141.610566666,0,2
"95",2020-01-05 03:00:00,143.353650001,0,3
"96",2020-01-05 04:00:00,102.22953333,0,4
"97",2020-01-05 05:00:00,87.201766664,0,5
"98",2020-01-05 06:00:00,79.819116667,0,6
"99",2020-01-05 07:00:00,61.866133334,0,7
"100",2020-01-05 08:00:00,59.463133333,0,8
"101",2020-01-05 09:00:00,68.476850002,0,9
"102",2020-01-05 10:00:00,82.136900001,0,10
"103",2020-01-05 11:00:00,72.871783334,0,11
"104",2020-01-05 12:00:00,77.430616665,0,12
"105",2020-01-05 13:00:00,63.447050001,0,13
"106",2020-01-05 14:00:00,37.510483333,0,14
"107",2020-01-05 15:00:00,31.461983333,0,15
"108",2020-01-05 16:00:00,30.189933333,0,16
"109",2020-01-05 17:00:00,12.479583335,0,17
"110",2020-01-05 18:00:00,15.66225,0,18
"111",2020-01-05 19:00:00,17.341033334,0,19
"112",2020-01-05 20:00:00,23.090516665,0,20
"113",2020-01-05 21:00:00,56.741033334,0,21
"114",2020-01-05 22:00:00,76.224916669,0,22
"115",2020-01-05 23:00:00,62.784433332,0,23
"116",2020-01-06 00:00:00,71.658450001,1,0
"117",2020-01-06 01:00:00,65.451133331,1,1
"118",2020-01-06 02:00:00,56.590716668,1,2
"119",2020-01-06 03:00:00,81.169933331,1,3
"120",2020-01-06 04:00:00,62.649466663,1,4
"121",2020-01-06 05:00:00,64.839316666,1,5
"122",2020-01-06 06:00:00,57.021750006,1,6
"123",2020-01-06 07:00:00,57.862366665,1,7
"124",2020-01-06 08:00:00,56.008466668,1,8
"125",2020-01-06 09:00:00,59.555433335,1,9
"126",2020-01-06 10:00:00,86.952566666,1,10
"127",2020-01-06 11:00:00,85.1694,1,11
"128",2020-01-06 12:00:00,71.779733335,1,12
"129",2020-01-06 13:00:00,43.587116666,1,13
"130",2020-01-06 14:00:00,44.252933337,1,14
"131",2020-01-06 15:00:00,22.085733332,1,15
"132",2020-01-06 16:00:00,21.737099997,1,16
"133",2020-01-06 17:00:00,18.957349997,1,17
"134",2020-01-06 18:00:00,8.481400002,1,18
"135",2020-01-06 19:00:00,9.912416668,1,19
"136",2020-01-06 20:00:00,16.434466669,1,20
"137",2020-01-06 21:00:00,42.973183332,1,21
"138",2020-01-06 22:00:00,32.739850002,1,22
